username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050264,5.0,700.0,4.0,12.0,10.0,3.0,12.0,1.0,37.0,1.0,0.0,30.0,1.0,1.0,1.0,1.0,1.0,2.5,100.0,4.0
Y1050265,1.0,719.0,1.0,12.0,10.0,6.0,10.0,1.0,45.0,3.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0
Y1050266,3.0,893.0,2.0,12.0,12.0,3.0,11.0,6.0,82.0,5.0,5.0,64.0,6.0,6.0,4.0,3.0,4.0,4.333333333,100.0,4.0
Y1050267,2.0,421.0,2.0,7.0,7.0,2.0,5.0,2.0,18.0,4.0,3.0,7.0,2.0,6.0,4.0,1.0,6.0,8.333333333,90.0,3.0
Y1050268,4.0,583.0,2.0,9.0,5.0,3.0,9.0,1.0,23.0,0.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,6.0
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y1050270,4.0,910.0,3.0,9.0,6.0,5.0,9.0,1.0,62.0,2.0,5.0,38.0,1.0,7.0,4.0,9.0,4.0,8.666666667,97.0,4.0
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050273,1.0,191.0,1.0,4.0,1.0,2.0,4.0,0.0,9.0,2.0,2.0,4.0,0.0,6.0,4.0,1.0,6.0,8.25,0.0,4.0
Y9999986,4.0,1017.0,4.0,12.0,9.0,10.0,12.0,0.0,139.0,26.0,31.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Y9999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,3.0
Y9999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,5.0
Y9999990,5.0,498.0,5.0,8.0,6.0,5.0,7.0,0.0,32.0,6.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,6.0
Y9999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0
Y9999992,3.0,660.0,3.0,9.0,7.0,2.0,8.0,3.0,31.0,3.0,2.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,90.0,3.0
Y9999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,25.0,4.0
Y9999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0
Y9999995,1.0,63.0,1.0,3.0,3.0,2.0,3.0,1.0,9.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,97.0,5.0
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,5.0
Y9999997,2.0,91.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,5.0
Y9999998,2.0,472.0,2.0,9.0,7.0,4.0,8.0,0.0,53.0,29.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,4.0
Y9999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,7.0
