username,active_num_days,problem_num_days,video_num_days,complete_rate,pause_video_sum,pause_video_avg,all_type_video_backward_seek_sum,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
os3,1.8237016935919967,1.0,1.5785175135315508,0.4455525738878695,5.038526559689802,0.5447574486561753,9.841500577611583,6.301509625356518,1.666666667,2.597780792876452,3.652952730734308,45.12875922531255,1
os4,0.5946740937050036,0.4280074267050036,0.5946740937050036,0.3560148538419626,1.6360891221878646,0.35700185656826205,0.3826443864530337,0.7199257316540979,0.4319554389060677,0.4319554389060677,0.2858528640327749,63.18036741697856,1
os5,3.65972548904101,2.36359383689468,2.1046638655276158,0.27731057310648666,2.9642801138293566,0.9617157305910012,4.074403361707339,1.2341288507483492,0.6170644258369729,0.7713305316020187,2.504555609552236,55.73163305654082,1
os6,0.5118393430566598,0.34517267605665986,0.5118393430566598,0.1903453530422836,0.6420721163957739,0.336293168781924,0.6311486379010565,1.5482732366465095,0.9289639418021132,0.9289639418021132,0.6147555498312764,44.21120955478947,1
os7,0.7102313168507703,0.5580861998300702,0.7102313168507703,0.4651482801193837,2.5435646498507705,0.4004127124419925,0.631356265379174,0.0,0.0,0.0,0.0,75.94914988244383,1
os8,1.1700363998932422,0.6734061328067025,0.8400727988269209,0.2752281892842256,3.510109198720163,0.4438828228443869,1.3805095937075722,0.7071034618806514,0.5235881303537862,0.5235881303537862,1.3623012190701893,47.67003640277193,1
os9,2.333333333,2.0829765897739687,2.0829765897739687,0.5233002543115558,6.751070231678092,0.5582079652165369,9.4127424810158,0.9992865125479379,0.7217465634768788,0.9992865125479379,1.4941956871344084,54.62585652756008,1
os10,2.6109216245250746,1.4072810828312785,2.0739477496094354,0.5227168754404934,5.925483790743946,0.9274788632412684,25.469847641516143,1.852672960205905,0.5557450424749253,0.5557450424749253,1.2553701043303414,30.77247215670209,1
os11,1.6233373829956144,0.9566707161256024,1.1233373829956146,0.4808413046597475,2.716646419631964,0.7393140331267024,0.7599757035063617,0.7250101232490119,0.7250101232490119,0.7250101232490119,1.0747208893178395,77.07829486635183,1
os12,1.8262061137513819,1.6559758381163818,1.6559758381163818,0.7739794960111329,6.641721399597764,0.7774018864003672,11.132676538741304,1.010690828883618,0.666666667,0.666666667,0.7889174650775668,71.83634562656313,1
os13,2.5997195216050137,2.433052854805855,2.5662459491083616,0.5306302588442077,7.2991585642167225,0.6699531186175449,9.667367862483259,0.6338942905891314,0.4337540508916382,0.5007011962866247,0.7656958070507155,39.97844677096587,1
os14,0.6795068790695158,0.34617354606951584,0.5,0.2547147677899647,1.8717259224489136,0.4310222648541076,2.3976624447227755,1.8715978741507588,0.41024656019598177,0.4871597873919635,0.420783191681399,52.92462335284336,1
os15,2.333333333,1.7764020788567725,1.7764020788567725,0.5828236877273014,7.670793764429684,0.6022529420952909,6.040422862766082,0.38613749071354464,0.3129805493293825,0.38613749071354464,0.718742512677905,67.29760297471655,1
os16,2.528125960742688,1.6854173074763743,1.9812493595236251,0.4915601880381526,6.915622117771937,0.8213169610437792,16.39269327855206,0.9906246797336868,0.6760419872100614,0.6760419872100614,2.391173757602264,86.22291859148537,2
os17,4.257580698014188,3.310610647951488,2.9621236821661836,0.6453102073951716,7.204535221227103,0.9107774473415088,11.43179312750272,8.136343875261428,2.204542984151996,3.2954492522412915,7.033927907084713,66.15151303089652,2
os18,3.5055184348856647,2.6122671176963723,2.5860925507630785,0.694357768849719,8.762378480679871,0.906151667822358,15.245823176663368,11.144592928097833,2.5805741158774143,4.1012302485655345,7.425821864287762,66.47382542942621,2
os19,3.854322682212564,2.614817356100329,3.072838659112234,0.8946419469286475,11.633310460408133,0.9807327033624346,20.89743513176416,3.6654185436105875,1.666666667,2.385182643899671,6.792145127681392,72.00499249468358,2
os20,3.6627186601113184,2.2480259967068434,2.465087464184053,0.5026152796826583,7.581359329706843,0.7730884367454233,9.275662043113401,0.30236880407273514,0.2015792028159464,0.2015792028159464,0.7470288099731195,84.0737730822182,2
os21,4.469887264185365,3.146591509750093,3.9397745283707297,0.779486326984242,9.353408490249906,0.9008015780829643,30.20912452665513,6.728985377668287,2.4498121069956835,3.7329575469913667,7.674357085766273,71.65453584575761,2
os22,3.9443610706841987,2.6110277370174324,3.4443610706841987,0.79180591555812,12.556039126765535,0.9354298315505559,31.444461118130175,5.777594355238532,1.9443610706841992,3.055438832091232,7.003813574837539,67.777244183179,2
os23,3.3313477321909204,2.333333333,3.0548936885067612,0.64190943530934,12.378299015449448,0.8674969223432529,26.805534912672886,3.2665260359681234,1.8902126233158405,2.3313477321909204,5.993598913470386,66.22354595430393,2
os24,3.2718579475369203,2.333333333,3.035063760249101,0.6131690130047971,12.061020163564852,0.851810748015873,25.97267792751689,2.9294172561828047,1.9298724797121805,2.2718579475369203,5.878188731241625,66.26320581034334,2
os25,3.231129815827426,2.333333333,3.0214877163187843,0.5934926313904758,11.843803460842695,0.8410716172938616,25.40248408358397,2.6986245097747017,1.9570245674913576,2.231129815827426,5.799176155725207,66.29035789787814,2
os26,3.376952234072504,3.0,2.8859047249258403,0.7134168553794935,9.078285308976243,0.9488143982599344,9.620760655008851,0.456381099612068,0.456381099612068,0.456381099612068,1.9530426455706185,86.77066589823464,2
os27,3.4243292328876302,2.1818553854713114,2.0303774379426223,0.4902182422298049,6.348658465411549,0.7949639120886007,7.908867687172132,0.5302410240023847,0.5302410240023847,0.5302410240023847,0.6737180069752218,85.71182358622951,2
os28,4.024836024841832,2.691502691271636,3.5248360248418327,0.7882990230060303,12.089284392110471,0.9294937876022848,31.428366126970307,5.954639254423952,2.0248360248418327,3.168103767892605,7.108052309645938,68.29228388967196,2
os29,3.3859674237311603,2.333333333,3.0731002523899207,0.6682970413519651,12.669604037361527,0.8818989580573009,27.570210594236244,3.5760376214356424,1.85379949565876,2.3859674237311603,6.09956111505845,66.18713282697456,2
os30,4.011626161940773,2.846897188601445,3.003875387309716,0.960798753663798,9.620162019236906,0.9990157746465179,12.608535860261252,2.5310030985126057,1.6686043606490448,2.170542054309716,6.904036021895398,76.54071658223077,2
os31,3.251704009256009,2.384355738374014,3.0,0.6034459937544591,11.312917846995964,0.8420264018243416,23.29246973982182,2.3503408014920195,1.9659850631180056,2.166666667,5.799932896070416,67.38779637507659,2
os32,3.445169008390154,3.0348127927520983,3.0770228818469327,0.6557063332008858,8.674063963342736,0.9263936526226612,12.741937100601985,1.9895527888643276,1.0496073864375712,1.3281097278277254,3.8702938470093433,82.67276649791485,2
os33,3.881746024126225,2.6021825295287644,3.1935515865399595,0.7705135416598029,12.795535767493606,0.9493690720647592,27.655456490461358,5.166666667,1.6935515865399595,2.6397817472987306,6.644592086843885,65.97311507981479,2
os34,3.7822972250625697,2.506779170267301,3.1088513877952693,0.8598164345283094,12.605654133553614,0.9712066091877046,24.966873464087968,4.241622201458766,1.666666667,2.493220829732699,6.735329752193628,69.70017786285871,2
os35,2.668861068444285,2.004388803635279,2.211076335365388,0.5261443711325766,7.379937403809673,0.8501519633343134,14.553708907901836,0.9155694659045032,0.666666667,0.666666667,2.567435024161689,86.04002086873011,2
os36,4.378252303013695,3.2228153784173865,3.2556148711681563,0.6934251356988258,9.630308237677538,0.934261856273655,18.7804067532532,5.166666667,1.755614871168156,2.5777184622981544,6.645687321480024,65.91105179369708,2
os37,2.9110922590016024,1.9555461290008016,2.4110922590016024,0.7624702107461454,11.396227171487295,0.9144162196227598,22.433107104019236,12.218694474733185,2.6740992107460047,4.4296736187444035,7.5650295133786924,66.62964533748008,2
os38,4.708555763369537,3.7350506938711434,3.2803434718378166,0.5914004022367506,6.593989238212543,0.9008347863768372,10.34265465831326,4.716252846565048,1.8598282636605763,2.4470101388378165,6.4923907701807275,65.91281812182278,2
os39,2.9448124294178477,1.9632082863153568,1.7034583806846433,0.48184259206643,5.665562711746457,0.8196634432977129,9.864605272085806,0.8517291898975092,0.8149374762128659,0.8149374762128659,1.2146472577155338,87.05629152883567,2
os40,2.8281647947326367,1.8854431966029808,1.781223470397019,0.4845629457859352,6.0155056158020885,0.8201263307406431,11.692084881376454,0.8906117348703446,0.7760549314733258,0.7760549314733258,1.5440052850894577,86.82299625946527,2
