,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21
video_pause_backward_seek_avg,0.1200691105,0.136650380625,-0.00415328443096,0.321375694445,-0.0273541596937,-0.114973895011,-0.105710744747,-0.136604106676,0.209878944986,0.0304386364616,0.133555525323,-0.0844772799203,0.190252314629,-0.132107467772,0.0193651906819,-0.129331283404,0.274555284481,0.00119146867061,-0.0370270689698,0.11048156954,0.0314305410116
video_stop_backward_seek_sum,0.0993928053408,-0.0904735395084,0.271646587197,-0.0834105760352,0.159054061242,0.239518575831,-0.155841741707,-0.0520974171698,0.0917540794899,0.202697256017,-0.0858979001518,0.170248335726,-0.0871317750261,-0.070244070829,0.154740392509,-0.442017934109,-0.203118476245,0.112437042597,-0.000776815559619,0.264018370933,-0.211546685974
video_stop_backward_seek_avg,0.0576156660901,-0.0564105481999,0.248382038555,-0.020850182283,-0.0701864353817,0.366341025725,-0.050237826613,-0.207114809799,0.235729731371,0.477865629301,-0.165341336861,0.0832012394936,0.339758392045,0.263987800456,0.168811094188,0.164129965201,0.0164287161668,0.00182884487136,0.135433104824,-0.00207797982397,0.184388629311
all_type_video_forward_seek_sum,0.166038814509,0.141395502771,-0.0924830009253,-0.0653795424516,0.0973425462494,-0.0181653236285,0.0528800503244,0.0289258100677,-0.0159188184587,0.0652278610412,-0.174387512558,-0.0807921674342,0.0505787366576,0.0262602255131,-0.0304832912063,0.0248519510725,-0.10370262764,-0.0793997056631,-0.0818318260581,-0.00633490603293,-0.0716400497593
all_type_video_forward_seek_avg,0.158185301516,0.164106657436,-0.0771796884887,0.00656356577259,-0.128589096798,0.0260771012936,0.114030474437,-0.0404548152919,-0.142438556192,0.0995620992163,-0.13689327415,-0.0269004725498,-0.205603831907,-0.0707440533854,0.100154172358,-0.00671206329049,-0.0234716819422,-0.0363095808978,0.0722596938918,0.0421394832616,-0.0458315096421
all_type_video_backward_seek_sum,0.162587981706,0.124039243606,0.0391671983501,0.0223633153115,0.137662444753,0.0937673406403,-0.128649598424,0.0360212675666,0.139426822015,-0.148596402146,0.173902938836,0.0254497265118,0.0509408617294,0.0228990918181,-0.112528108077,-0.0474033841675,-0.0904606499107,0.079833556213,-0.107868013183,-0.04692404624,0.030694846219
all_type_video_backward_seek_avg,0.153654429734,0.143125890657,0.0331903465876,0.0749917433502,-0.0939661668745,0.200051620084,-0.0864402571883,-0.0750170799297,0.0594463084011,-0.109500707516,0.304915197729,0.0623641823189,0.0613881176959,-0.0752446721785,-0.0336594248031,0.00378384192498,0.201480441894,0.0185208376593,0.141154144689,0.0119377024077,-0.0142663570723
all_type_video_seek_sum,0.171639144539,0.140862210975,-0.0478916541148,-0.0358148633045,0.11619849911,0.0222491292712,-0.0116941724242,0.0327320759068,0.0405547716331,-0.0107126420383,-0.053509969786,-0.0450616716906,0.0528044913874,0.026110539689,-0.0619184707288,-0.000693541635308,-0.103123011794,-0.0241227167838,-0.0947928725814,-0.0215246556563,-0.0369678019549
all_type_video_seek_avg,0.165197815624,0.165282655108,-0.0400818487291,0.0325599218391,-0.122698744245,0.092688276118,0.045207647487,-0.055630226079,-0.074650145798,0.0267238114962,0.021082028224,0.00505918956837,-0.11690259597,-0.0763253637167,0.0555387765587,-0.00314960215462,0.0595087937945,-0.0177679485876,0.102048045025,0.0331453750329,-0.0365299351999
video_pause_sum,0.161799337517,0.11116514826,-0.0385807251455,0.190210527421,0.0717837293398,-0.112246688349,-0.0991332418208,0.00800438664938,0.0258363373195,0.0278520894558,-0.0632280647145,0.0416522953625,0.0573637660797,0.0617901514821,-0.00501084579705,0.0622986650914,-0.0801614281865,-0.0290061638619,-0.129217829075,-0.0161096252049,-0.0579261300121
video_pause_avg,0.147672471419,0.131891861911,-0.020814201867,0.248047884833,-0.150419551338,-0.0745570800597,-0.0270636721784,-0.0196628384459,-0.0531141199129,0.0257002575915,-0.111605170876,0.0897950658809,-0.105319666059,0.0432752433134,0.0618886382415,-0.000817213624588,-0.0451057827662,0.0160096117161,0.113661174833,0.0545210909518,0.0714281287135
