username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050214,3,154.875,575,2.5,10.625,41,3,21.375,81.5,0,0,0,6.5,6,0.5,13.69421007,3,0.25,6,0.958333334,1.5,13,1.083333334,42,5.791666666,5.5,1.375,55,6.875,16.5,71.5,9.166666665,52,8,1.5,78,10.16666667,203,27.45833334,1,1,1,0.625,32.5,0,20
Y1050215,2,286.25,572.5,1.5,40.25,59.5,1.5,26,36,0,0,0,10,9.5,0.958333334,6.74773068,2,0.1875,9.5,0.958333334,1,4.5,0.479166667,9,0.916666667,4,0.416666667,13.5,1.395833334,7,20.5,2.0625,21.5,2.1875,1,30.5,3.0625,73.5,7.416666666,0,0,0,0,60,0,20
Y1050216,1.5,59.33333335,178,0.5,6,6,0.5,11,11,0,0,0,2,0,0,6.76278055,2,0.5,0.5,0.125,0,2,0.5,2.5,0.625,0.5,0.125,4.5,1.125,2.5,7,1.75,3,0.75,0,9,2.25,19,4.75,0,0,0,0,10,0,10
Y1050218,1,206.75,413.5,1,26,52,1,9.25,18.5,0,0,0,3,2,0.333333334,6.4042693,1.5,0.25,3,0.5,0,3,0.5,4,0.666666667,1,0.166666667,7,1.166666667,8,15,2.5,8,1.333333334,0,18,3,41,6.833333335,0,0,0,0,12.5,0,10
Y1050219,3.5,68.65,333.5,1.5,11.83333334,35.5,2,4.333333334,12,0,0,0,4.5,1.5,0.1875,13.34804323,3.5,0.4375,3,0.8125,0,2.5,0.3125,1.5,0.1875,1.5,0.1875,4,0.5,3,7,0.875,5.5,1.125,0,11.5,1.875,24,3.875,3,2,3,3.666666667,75,0,20
Y1050220,1,183.75,367.5,0.5,17,17,1,29.5,59,0,0,0,5.5,5.5,0.5,0.445757971,4,0.363636364,5.5,0.5,2,4,0.363636364,20,1.818181818,7.5,0.681818182,24,2.181818182,23,47,4.272727273,31.5,2.863636364,2,52.5,4.772727273,133,12.09090909,0,0,0,0,50,0,30
Y1050221,2,92,368,1,22.75,45.5,1.5,2.5,7.5,0,0,0,2,0,0,5.68802178,1,0.25,1.5,0.375,0,2.5,0.625,0.5,0.125,0.5,0.125,3,0.75,1,4,1,2.5,0.625,0,6,1.5,12.5,3.125,3.5,2.5,3.5,7,78.5,1,80
Y1050222,2.5,112.9166667,329.5,1.5,21,41,1.5,3.5,6.5,0,0,0,5,0,0,8.805650892,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,1,10,2,0,0,0,0,76,0,50
Y1050223,1,143.25,286.5,0.5,24,24,0.5,23.5,23.5,0,0,0,4,1.5,0.1875,6.73645693,3.5,0.4375,2.5,0.3125,0.5,7.5,0.9375,10,1.25,0.5,0.0625,17.5,2.1875,0.5,18,2.25,12.5,1.5625,0.5,22,2.75,53,6.625,1.5,1.5,1.5,0.666666667,32.5,0,20
Y1050224,2,114.625,458.5,2,8.625,34.5,2,17.375,69.5,0,0,0,6.5,5.5,0.423076923,4.821758274,4.5,0.346153846,6.5,0.5,1.5,16,1.230769231,15,1.153846154,9,0.692307693,31,2.384615385,21.5,52.5,4.038461539,28,2.153846154,1.5,59,4.538461539,141,10.84615385,3,2,2,4.166666667,87.5,1,68
Y1050225,4,118.3333334,613,2.5,13.125,45,3.5,19.95,84,0,0,0,7,6,0.708333333,9.906544123,3.5,0.708333333,6.5,0.75,1.5,17,2.875,23.5,2.583333334,7,1,40.5,5.458333334,25.5,66,9.25,36,4.25,1.5,73,10.25,176.5,23.875,3,2,3,9.175,80,1,75
Y1050226,1.5,86.25,169.5,0,0,0,1,10.75,21.5,0,0,0,4.5,2.5,0.277777778,0.86611806,1,0.111111111,3,0.333333334,1.5,0.5,0.055555556,2.5,0.277777778,3,0.333333334,3,0.333333334,6,9,1,8.5,0.944444445,1.5,13.5,1.5,32.5,3.611111111,1,1,1,0,90,0,40
Y1050227,1,140.25,280.5,1,14,28,1,8.75,17.5,0,0,0,3.5,0,0,5.127658905,2,0.285714286,3,0.428571429,0,2,0.285714286,8,1.142857143,0.5,0.071428572,10,1.428571429,1.5,11.5,1.642857143,11,1.571428572,0,15,2.142857143,37.5,5.357142855,1,1,1,0,42.5,0,10
Y1050228,1.5,170.3333334,511,0.5,23.5,23.5,1.5,24.66666667,74,0.5,0.5,0.5,9,4.5,0.25,6.83743585,3,0.166666667,8.5,0.472222222,2,9.5,0.527777778,41,2.277777778,6.5,0.361111111,50.5,2.805555556,11.5,62,3.444444444,55,3.055555556,2,71,3.944444444,190,10.55555556,2,2,2,6.333333333,81,1,66
Y1050229,3.5,297.2083334,986,3,24,72,3,23.16666667,69.5,0,0,0,10.5,8.5,0.809090909,11.60868342,3,0.281818182,10.5,1,1,0.5,0.045454546,40.5,3.863636364,8,0.759090909,41,3.909090909,12,53,5.040909091,58,5.522727273,1,63.5,6.040909091,175.5,16.70454546,12.5,3.5,7.5,9.945,95,1,99
