username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050244,1,133,133,0,0,0,1,23,0,0,0,6,2,0.333333333,3.337187143,3,0.5,5,0.833333333,2,3,8,1.333333333,0,0,10,1.666666667,3,0.5,13,2.166666667,11,1.833333333,19,3.166666667,44,7.333333333,0,0,0,0,85,10
Y1050245,1,110,110,1,5,5,1,10,0,0,0,4,2,0.5,2.593905419,1,0.25,4,1,2,0,2,0.5,1,0.25,4,1,1,0.25,5,1.25,7,1.75,9,2.25,21,5.25,0,0,0,0,65,10
Y1050246,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,6,7.833333333,55,30
Y1050247,1,74,74,0,0,0,1,3,0,0,0,2,1,0.5,2.477256943,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,2,14,4,8,7.333333333,100,30
Y1050248,1,126,126,0,0,0,1,11,0,0,0,5,4,0.8,2.299018823,1,0.2,4,0.8,0,1,2,0.4,0,0,2,0.4,1,0.2,3,0.6,5,1,8,1.6,18,3.6,7,4,4,7.5,90,30
Y1050249,1,142,142,0,0,0,1,22,0,0,0,6,5,0.833333333,2.331620858,1,0.166666667,5,0.833333333,1,2,9,1.5,0,0,10,1.666666667,2,0.333333333,12,2,12,2,18,3,45,7.5,22,3,4,4,88,30
Y1050250,1,68,68,0,0,0,1,5,0,0,0,4,3,0.75,2.592788806,0,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,4,1,8,2,10,3,3,4.166666667,0,10
Y1050252,1,215,215,1,5,5,1,23,0,0,0,9,9,1,2.549085218,0,0,7,0.777777778,0,0,12,1.333333333,1,0.111111111,12,1.333333333,2,0.222222222,14,1.555555556,19,2.111111111,23,2.555555556,60,6.666666667,0,0,0,0,53,10
Y1050253,3,170.3333333,511,1,6,6,3,97,0,0,0,9,4,0.444444444,12.55947892,5,0.555555556,9,1,11,14,30,3.333333333,10,1.111111111,41,4.555555556,25,2.777777778,66,7.333333333,46,5.111111111,75,8.333333333,189,21,5,3,5,1.333333333,55,10
Y1050254,1,189,189,0,0,0,1,51,0,0,0,4,2,0.5,2.685320665,1,0.25,3,0.75,27,5,1,0.25,0,0,28,7,5,1.25,33,8.25,4,1,37,9.25,75,18.75,9,3,5,8.333333333,83,20
Y1050255,2,72,144,0,0,0,1,22,0,0,0,7,5,0.714285714,2.430722667,1,0.142857143,6,0.857142857,0,2,11,1.571428571,0,0,11,1.571428571,3,0.428571429,14,2,15,2.142857143,21,3,54,7.714285714,11,4,6,6.333333333,95,40
Y1050256,1,103,103,0,0,0,1,10,0,0,0,1,1,1,2.829046471,1,1,1,1,3,1,0,0,0,0,3,3,2,2,5,5,1,1,6,6,13,13,7,4,4,2.416666667,85,30
Y1050257,1,206,206,0,0,0,1,61,0,0,0,2,0,0,2.720184139,2,1,2,1,14,17,8,4,2,1,22,11,19,9.5,41,20.5,12,6,43,21.5,96,48,2,2,2,1,65,40
Y1050258,1,76,76,0,0,0,1,10,0,0,0,2,0,0,3.108376431,2,1,1,0.5,0,3,0,0,0,0,0,0,3,1.5,3,1.5,1,0.5,5,2.5,9,4.5,2,2,2,1.666666667,65,10
Y1050259,1,748,748,1,79,79,1,58,0,0,0,12,11,0.916666667,1.542593124,6,0.5,11,0.916666667,18,11,5,0.416666667,7,0.583333333,23,1.916666667,18,1.5,41,3.416666667,22,1.833333333,53,4.416666667,116,9.666666667,6,4,6,8,85,80
Y1050260,1,1071,1071,1,72,72,1,63,0,0,0,12,11,0.916666667,2.684845692,6,0.5,12,1,0,16,23,1.916666667,10,0.833333333,23,1.916666667,26,2.166666667,49,4.083333333,41,3.416666667,61,5.083333333,154,12.83333333,0,0,0,0,90,50
