username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_complete,complete_rate,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050258,0.5,192.1666667,0.333333333,19.0,0.5,0.833333333,0.166666667,0.4166666670000001,0.333333333,0.333333333,0.166666667,0.333333333,0.294117647,10.83333333,0
Y1050259,1.5,819.1666667000002,1.333333333,86.0,1.333333333,9.5,0.625,0.8121980679999999,4.166666667,3.0,3.333333333,3.5,6.1541176470000005,89.16666667,3
Y1050260,1.833333333,862.0,1.166666667,63.5,1.5,7.666666667,0.768518519,0.950231482,0.0,0.0,0.0,0.0,0.0,68.5,1
Y1050261,5.333333333,719.0,2.5,90.0,0.166666667,0.333333333,0.111111111,0.166666667,2.666666667,2.666666667,1.0,2.666666667,6.039411765,82.16666667,3
Y1050262,1.666666667,212.8333333,1.0,18.33333333,1.166666667,1.666666667,0.49537037,0.759259259,0.833333333,0.833333333,0.333333333,0.833333333,1.235294118,76.66666667,1
Y1050263,1.833333333,453.0,0.666666667,20.66666667,0.5,3.333333333,0.305555556,0.333333333,0.0,0.0,0.0,0.0,0.0,57.5,1
Y1050264,2.333333333,541.0,1.666666667,59.16666667,1.666666667,7.833333333,0.604129531,0.61801842,0.166666667,0.166666667,0.166666667,0.166666667,0.441176471,71.83333333,1
Y1050265,0.666666667,270.0,0.666666667,21.0,0.666666667,4.5,0.472222222,0.429292929,0.0,0.0,0.0,0.0,0.0,40.0,0
Y1050266,1.833333333,538.8333332999998,1.666666667,44.16666667,1.666666667,6.666666667,0.7792207790000001,0.780483406,1.0,0.666666667,0.5,0.666666667,0.764705882,72.66666667,1
Y1050267,2.333333333,646.3333332999998,2.166666667,64.0,2.166666667,5.666666667,0.507051282,0.5461843710000001,1.166666667,0.833333333,0.333333333,1.166666667,1.705882353,51.16666667,1
Y1050268,4.166666667,584.8333332999998,2.5,55.83333333,2.666666667,5.0,0.5071225070000001,0.7521367520000001,0.0,0.0,0.0,0.0,0.0,83.16666667,2
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333332999999,0
Y1050270,1.333333333,324.5,1.0,34.16666667,1.166666667,2.833333333,0.294444445,0.4166666670000001,2.666666667,1.666666667,2.0,1.666666667,4.666470588,47.83333333,1
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050273,0.833333333,79.0,0.166666667,2.5,0.5,0.333333333,0.125,0.5,2.333333333,1.666666667,0.666666667,2.166666667,4.544117647,35.66666667,1
Y9999986,2.5,755.5,2.166666667,54.5,2.166666667,7.0,0.657814408,0.819444445,0.5,0.333333333,0.333333333,0.333333333,0.705882353,73.0,1
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.83333333,0
Y9999988,1.666666667,258.6666667,0.5,8.0,0.833333333,3.5,0.427946128,0.61969697,0.0,0.0,0.0,0.0,0.0,47.16666667,1
Y9999989,0.666666667,305.1666667,0.5,44.0,0.666666667,3.333333333,0.5,0.375,0.0,0.0,0.0,0.0,0.0,79.66666667,1
Y9999990,3.833333333,769.5,3.0,66.0,3.0,9.833333332999999,0.902777778,0.979166667,0.0,0.0,0.0,0.0,0.0,89.16666667,2
Y9999991,0.666666667,314.3333333,0.5,37.5,0.333333333,3.166666667,0.291666667,0.261904762,0.0,0.0,0.0,0.0,0.0,61.33333333,1
Y9999992,1.833333333,485.1666667,1.833333333,51.0,1.833333333,8.666666667000001,0.782407408,0.7440349,0.0,0.0,0.0,0.0,0.0,53.5,1
Y9999993,1.166666667,707.8333332999998,0.833333333,36.83333333,1.166666667,9.166666667000001,0.457729469,0.5,0.333333333,0.333333333,0.166666667,0.333333333,0.0,73.5,1
Y9999994,0.333333333,52.0,0.166666667,0.833333333,0.333333333,0.333333333,0.166666667,0.233333333,0.0,0.0,0.0,0.0,0.0,30.83333333,0
Y9999995,1.333333333,185.0,0.666666667,11.66666667,0.833333333,2.166666667,0.383597884,0.605820106,0.0,0.0,0.0,0.0,0.0,79.83333333,1
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33333333,1
Y9999997,1.5,402.1666667,1.166666667,50.83333333,1.166666667,5.833333333,0.564102564,0.616096866,0.0,0.0,0.0,0.0,0.0,83.83333333,1
Y9999998,1.5,301.1666667,0.666666667,8.0,1.333333333,6.833333333,0.478835979,0.485449736,0.0,0.0,0.0,0.0,0.0,64.83333333,1
Y9999999,2.333333333,664.1666667000002,0.5,33.66666667,1.833333333,8.333333332999999,0.46489899,0.59040404,0.0,0.0,0.0,0.0,0.0,100.8333333,2
os0,1.5545058592484562,406.06686373834503,1.1908914933084225,51.34205468298559,1.1908914933084225,5.694040581599392,0.5549095529811464,0.6222602948137375,0.0,0.0,0.0,0.0,0.0,83.11870095342915,1
os1,1.7806817717578878,713.3685038069801,1.0363094511028867,66.6256501318149,1.4473484387578877,6.280681771757887,0.4963975405544433,0.62775799405888,0.3972402529321101,0.333333333,0.2305735865486686,0.333333333,0.2706646015466337,65.49853847699178,1
os2,0.3958625190413323,37.211076789885226,0.2639083457636465,4.222533536176969,0.2639083457636465,0.2639083457636465,0.19793125952066612,0.2639083457636465,2.7710376332893265,1.1875875571239969,1.9793125952066613,1.7154042494430148,2.6466902298767074,32.60086867832945,1
os3,1.8237016935919967,400.72361121475194,1.0,38.47549826234741,1.5785175135315508,3.931114126876453,0.4455525738878695,0.5447574486561753,6.301509625356518,1.666666667,1.5192632798160064,2.597780792876452,3.652952730734308,45.12875922531255,1
os4,0.5946740937050036,329.1401935592868,0.4280074267050036,45.5838366107621,0.5946740937050036,1.965474443418756,0.3560148538419626,0.35700185656826205,0.7199257316540979,0.4319554389060677,0.3599628656110713,0.4319554389060677,0.2858528640327749,63.18036741697856,1
os5,3.65972548904101,321.52979274243853,2.36359383689468,16.33036974463395,2.1046638655276158,1.4340196099346765,0.27731057310648666,0.9617157305910012,1.2341288507483492,0.6170644258369729,1.542661064129634,0.7713305316020187,2.504555609552236,55.73163305654082,1
os6,0.5118393430566598,356.72416547001734,0.34517267605665986,47.40620112303761,0.5118393430566598,0.3916141845792847,0.1903453530422836,0.336293168781924,1.5482732366465095,0.9289639418021132,0.774136617858773,0.9289639418021132,0.6147555498312764,44.21120955478947,1
os7,0.7102313168507703,303.16269280686464,0.5580861998300702,42.417151055131576,0.7102313168507703,3.1300316337254483,0.4651482801193837,0.4004127124419925,0.0,0.0,0.0,0.0,0.0,75.94914988244383,1
os8,1.1700363998932422,311.2729483654444,0.6734061328067025,39.71876241130628,0.8400727988269209,2.016848664526865,0.2752281892842256,0.4438828228443869,0.7071034618806514,0.5235881303537862,0.8569214633537862,0.5235881303537862,1.3623012190701893,47.67003640277193,1
os9,2.333333333,628.7026237032953,2.0829765897739687,63.1909959207063,2.0829765897739687,6.029323668201214,0.5233002543115558,0.5582079652165369,0.9992865125479379,0.7217465634768788,0.30543664070290977,0.9992865125479379,1.4941956871344084,54.62585652756008,1
os10,2.6109216245250746,634.8350147146483,1.4072810828312785,29.95050801519761,2.0739477496094354,3.796927918509137,0.5227168754404934,0.9274788632412684,1.852672960205905,0.5557450424749253,0.6854378337811292,0.5557450424749253,1.2553701043303414,30.77247215670209,1
os11,1.6233373829956144,209.21533809720276,0.9566707161256024,17.466747652512044,1.1233373829956146,1.7316605928765902,0.4808413046597475,0.7393140331267024,0.7250101232490119,0.7250101232490119,0.29000404912560235,0.7250101232490119,1.0747208893178395,77.07829486635183,1
os12,1.8262061137513819,539.5139827403491,1.6559758381163818,44.081140038931046,1.6559758381163818,6.616776132195529,0.7739794960111329,0.7774018864003672,1.010690828883618,0.666666667,0.521381657767236,0.666666667,0.7889174650775668,71.83634562656313,1
os13,2.5997195216050137,589.8594614819623,2.433052854805855,56.008414357832756,2.5662459491083616,5.799859760503348,0.5306302588442077,0.6699531186175449,0.6338942905891314,0.4337540508916382,0.333333333,0.5007011962866247,0.7656958070507155,39.97844677096587,1
os14,0.6795068790695158,112.78414932617656,0.34617354606951584,7.667050813971505,0.5,1.563944965828311,0.2547147677899647,0.4310222648541076,1.8715978741507588,0.41024656019598177,1.5511047537587954,0.4871597873919635,0.420783191681399,52.92462335284336,1
os15,2.333333333,564.1175934238443,1.7764020788567725,60.22744231721722,1.7764020788567725,7.3578132151003,0.5828236877273014,0.6022529420952909,0.38613749071354464,0.3129805493293825,0.2032451374726102,0.38613749071354464,0.718742512677905,67.29760297471655,1
os16,2.528125960742688,459.0429033307657,1.6854173074763743,34.02710702869465,1.9812493595236251,5.0822887847719365,0.4915601880381526,0.8213169610437792,0.9906246797336868,0.6760419872100614,0.17604198721006134,0.6760419872100614,2.391173757602264,86.22291859148537,2
os17,4.257580698014188,1028.8407471185837,3.310610647951488,88.87110097661251,2.9621236821661836,4.85604825512362,0.6453102073951716,0.9107774473415088,8.136343875261428,2.204542984151996,2.4848386042898043,3.2954492522412915,7.033927907084713,66.15151303089652,2
os18,3.5055184348856647,1053.4976456061054,2.6122671176963723,105.792501909091,2.5860925507630785,6.736203913106081,0.694357768849719,0.906151667822358,11.144592928097833,2.5805741158774143,3.988963130869162,4.1012302485655345,7.425821864287762,66.47382542942621,2
os19,3.854322682212564,902.078736152233,2.614817356100329,63.1544141807652,3.072838659112234,10.207397239287587,0.8946419469286475,0.9807327033624346,3.6654185436105875,1.666666667,1.2703652867993416,2.385182643899671,6.792145127681392,72.00499249468358,2
os20,3.6627186601113184,545.0718355644353,2.2480259967068434,49.03003523836345,2.465087464184053,5.0503948007795785,0.5026152796826583,0.7730884367454233,0.30236880407273514,0.2015792028159464,0.0503948007795788,0.2015792028159464,0.7470288099731195,84.0737730822182,2
os21,4.469887264185365,822.8866361261269,3.146591509750093,67.25093946532273,3.9397745283707297,8.550187893004317,0.779486326984242,0.9008015780829643,6.728985377668287,2.4498121069956835,2.5562533023061884,3.7329575469913667,7.674357085766273,71.65453584575761,2
os22,3.9443610706841987,894.9002277616269,2.6110277370174324,57.55413819563049,3.4443610706841987,10.389172358206835,0.79180591555812,0.9354298315505559,5.777594355238532,1.9443610706841992,2.1110277370174324,3.055438832091232,7.003813574837539,67.777244183179,2
os23,3.3313477321909204,959.6039544182868,2.333333333,62.33403648515939,3.0548936885067612,8.427235897223436,0.64190943530934,0.8674969223432529,3.2665260359681234,1.8902126233158405,1.1626954633818407,2.3313477321909204,5.993598913470386,66.22354595430393,2
