username,active_num_days,active_sum_count,problem_num_days,problem_sum_count,video_num_days,num_watched,num_incomplete,complete_rate,pause_video_sum,pause_video_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050241,1.333333333,475.5,0.666666667,19.5,1.333333333,6.5,2.666666667,0.53505291,5.5,0.856150794,0.5,0.333333333,0.333333333,0.5735294120000001,30.5,0
Y1050242,0.666666667,140.0,0.333333333,1.0,0.666666667,2.833333333,1.0,0.287878788,2.5,0.429292929,0.333333333,0.333333333,0.333333333,0.0,28.33333333,0
Y1050243,0.5,66.5,0.0,0.0,0.5,3.166666667,0.666666667,0.291666667,2.0,0.363425926,0.0,0.0,0.0,0.0,15.83333333,0
Y1050244,0.5,81.83333333,0.166666667,1.166666667,0.5,2.666666667,1.0,0.322222222,2.0,0.3722222220000001,0.0,0.0,0.0,0.0,14.16666667,0
Y1050245,0.5,160.83333330000005,0.5,18.5,0.5,2.166666667,0.833333333,0.291666667,2.0,0.466666667,0.0,0.0,0.0,0.0,10.83333333,0
Y1050246,0.5,47.0,0.333333333,5.333333333,0.333333333,0.5,0.166666667,0.25,0.5,0.333333333,3.5,1.5,2.166666667,3.342941176,20.83333333,1
Y1050247,0.666666667,70.0,0.333333333,3.833333333,0.666666667,1.0,0.666666667,0.13888888900000002,1.0,0.5,3.666666667,1.5,2.333333333,3.529411765,31.16666667,1
Y1050248,0.5,96.66666667,0.333333333,10.16666667,0.5,2.333333333,0.666666667,0.395238095,1.833333333,0.35952381,1.333333333,0.833333333,0.833333333,1.6764705880000002,34.16666667,1
Y1050249,0.5,93.66666667,0.166666667,4.166666667,0.5,3.666666667,0.666666667,0.406084656,2.5,0.350529101,3.666666667,0.5,0.666666667,0.705882353,38.83333333,1
Y1050250,0.333333333,37.5,0.0,0.0,0.333333333,2.666666667,0.166666667,0.291666667,1.5,0.180555556,1.666666667,0.5,0.5,0.735294118,0.0,0
Y1050251,0.333333333,57.33333333,0.0,0.0,0.333333333,3.333333333,0.0,0.333333333,1.833333333,0.186868687,0.0,0.0,0.0,0.0,0.0,0
Y1050252,0.5,180.3333333,0.5,18.5,0.5,3.166666667,0.5,0.333333333,2.166666667,0.335978836,0.0,0.0,0.0,0.0,8.833333332999999,0
Y1050253,0.833333333,246.3333333,0.5,20.0,0.833333333,2.5,1.666666667,0.107407407,2.5,0.5,0.833333333,0.5,0.833333333,0.235294118,15.83333333,0
Y1050254,0.5,281.6666667,0.333333333,37.16666667,0.5,1.666666667,1.0,0.208333333,1.333333333,0.375,1.666666667,0.666666667,1.0,1.470588235,25.5,0
Y1050255,2.0,408.8333333,1.0,43.5,1.666666667,4.666666667,1.0,0.552380952,4.333333333,0.626190476,3.833333333,1.666666667,2.333333333,3.098235294,56.5,1
Y1050256,0.5,360.6666667,0.333333333,47.66666667,0.5,0.5,0.333333333,0.166666667,0.5,0.333333333,1.666666667,1.0,1.0,0.661764706,41.5,1
Y1050257,0.833333333,129.1666667,0.5,10.66666667,0.5,1.333333333,1.0,0.125,1.333333333,0.5,0.333333333,0.333333333,0.333333333,0.176470588,65.0,1
Y1050258,0.5,192.1666667,0.333333333,19.0,0.5,2.0,1.166666667,0.166666667,1.833333333,0.4166666670000001,0.333333333,0.333333333,0.333333333,0.294117647,10.83333333,0
Y1050259,1.5,819.1666667000002,1.333333333,86.0,1.333333333,10.16666667,0.666666667,0.625,9.833333332999999,0.8121980679999999,4.166666667,3.0,3.5,6.1541176470000005,89.16666667,3
Y1050260,1.833333333,862.0,1.166666667,63.5,1.5,9.5,1.833333333,0.768518519,8.833333332999999,0.950231482,0.0,0.0,0.0,0.0,68.5,1
Y1050261,5.333333333,719.0,2.5,90.0,0.166666667,0.5,0.166666667,0.111111111,0.5,0.166666667,2.666666667,2.666666667,2.666666667,6.039411765,82.16666667,3
Y1050262,1.666666667,212.8333333,1.0,18.33333333,1.166666667,3.166666667,1.5,0.49537037,2.5,0.759259259,0.833333333,0.833333333,0.833333333,1.235294118,76.66666667,1
Y1050263,1.833333333,453.0,0.666666667,20.66666667,0.5,3.666666667,0.333333333,0.305555556,3.666666667,0.333333333,0.0,0.0,0.0,0.0,57.5,1
Y1050264,2.333333333,541.0,1.666666667,59.16666667,1.666666667,8.666666667000001,0.833333333,0.604129531,8.0,0.61801842,0.166666667,0.166666667,0.166666667,0.441176471,71.83333333,1
Y1050265,0.666666667,270.0,0.666666667,21.0,0.666666667,4.833333333,0.333333333,0.472222222,4.166666667,0.429292929,0.0,0.0,0.0,0.0,40.0,0
Y1050266,1.833333333,538.8333332999998,1.666666667,44.16666667,1.666666667,7.166666667,0.5,0.7792207790000001,6.666666667,0.780483406,1.0,0.666666667,0.666666667,0.764705882,72.66666667,1
Y1050267,2.333333333,646.3333332999998,2.166666667,64.0,2.166666667,7.833333333,2.166666667,0.507051282,6.5,0.5461843710000001,1.166666667,0.833333333,1.166666667,1.705882353,51.16666667,1
Y1050268,4.166666667,584.8333332999998,2.5,55.83333333,2.666666667,8.333333332999999,3.333333333,0.5071225070000001,7.833333333,0.7521367520000001,0.0,0.0,0.0,0.0,83.16666667,2
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333332999999,0
Y1050270,1.333333333,324.5,1.0,34.16666667,1.166666667,4.833333333,2.0,0.294444445,4.0,0.4166666670000001,2.666666667,1.666666667,1.666666667,4.666470588,47.83333333,1
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Y1050273,0.833333333,79.0,0.166666667,2.5,0.5,1.166666667,0.833333333,0.125,1.166666667,0.5,2.333333333,1.666666667,2.166666667,4.544117647,35.66666667,1
Y9999986,2.5,755.5,2.166666667,54.5,2.166666667,8.666666667000001,1.666666667,0.657814408,8.5,0.819444445,0.5,0.333333333,0.333333333,0.705882353,73.0,1
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.83333333,0
Y9999988,1.666666667,258.6666667,0.5,8.0,0.833333333,5.5,2.0,0.427946128,5.0,0.61969697,0.0,0.0,0.0,0.0,47.16666667,1
Y9999989,0.666666667,305.1666667,0.5,44.0,0.666666667,3.333333333,0.0,0.5,2.5,0.375,0.0,0.0,0.0,0.0,79.66666667,1
Y9999990,3.833333333,769.5,3.0,66.0,3.0,10.5,0.666666667,0.902777778,10.33333333,0.979166667,0.0,0.0,0.0,0.0,89.16666667,2
Y9999991,0.666666667,314.3333333,0.5,37.5,0.333333333,3.833333333,0.666666667,0.291666667,3.333333333,0.261904762,0.0,0.0,0.0,0.0,61.33333333,1
Y9999992,1.833333333,485.1666667,1.833333333,51.0,1.833333333,9.166666667000001,0.5,0.782407408,8.0,0.7440349,0.0,0.0,0.0,0.0,53.5,1
Y9999993,1.166666667,707.8333332999998,0.833333333,36.83333333,1.166666667,10.16666667,1.0,0.457729469,10.16666667,0.5,0.333333333,0.333333333,0.333333333,0.0,73.5,1
Y9999994,0.333333333,52.0,0.166666667,0.833333333,0.333333333,2.0,1.666666667,0.166666667,1.666666667,0.233333333,0.0,0.0,0.0,0.0,30.83333333,0
Y9999995,1.333333333,185.0,0.666666667,11.66666667,0.833333333,4.666666667,2.5,0.383597884,4.166666667,0.605820106,0.0,0.0,0.0,0.0,79.83333333,1
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.33333333,1
Y9999997,1.5,402.1666667,1.166666667,50.83333333,1.166666667,6.5,0.666666667,0.564102564,5.5,0.616096866,0.0,0.0,0.0,0.0,83.83333333,1
Y9999998,1.5,301.1666667,0.666666667,8.0,1.333333333,9.333333332999999,2.5,0.478835979,6.666666667,0.485449736,0.0,0.0,0.0,0.0,64.83333333,1
Y9999999,2.333333333,664.1666667000002,0.5,33.66666667,1.833333333,12.16666667,3.833333333,0.46489899,11.0,0.59040404,0.0,0.0,0.0,0.0,100.8333333,2
os0,1.5545058592484562,406.06686373834503,1.1908914933084225,51.34205468298559,1.1908914933084225,6.433381727597332,0.7393411459979413,0.5549095529811464,5.457606553905755,0.6222602948137375,0.0,0.0,0.0,0.0,83.11870095342915,1
os1,1.7806817717578878,713.3685038069801,1.0363094511028867,66.6256501318149,1.4473484387578877,9.077705654038443,2.7970238822805547,0.4963975405544433,7.780681771757887,0.62775799405888,0.3972402529321101,0.333333333,0.333333333,0.2706646015466337,65.49853847699178,1
os2,0.3958625190413323,37.211076789885226,0.2639083457636465,4.222533536176969,0.2639083457636465,0.3958625190413323,0.13195417327768574,0.19793125952066612,0.3958625190413323,0.2639083457636465,2.7710376332893265,1.1875875571239969,1.7154042494430148,2.6466902298767074,32.60086867832945,1
os3,1.8237016935919967,400.72361121475194,1.0,38.47549826234741,1.5785175135315508,5.3718598931609085,1.4407457662844556,0.4455525738878695,5.038526559689802,0.5447574486561753,6.301509625356518,1.666666667,2.597780792876452,3.652952730734308,45.12875922531255,1
os4,0.5946740937050036,329.1401935592868,0.4280074267050036,45.5838366107621,0.5946740937050036,2.1094595895767934,0.14398514615803742,0.3560148538419626,1.6360891221878646,0.35700185656826205,0.7199257316540979,0.4319554389060677,0.4319554389060677,0.2858528640327749,63.18036741697856,1
os5,3.65972548904101,321.52979274243853,2.36359383689468,16.33036974463395,2.1046638655276158,3.1626890783326567,1.7286694683979813,0.27731057310648666,2.9642801138293566,0.9617157305910012,1.2341288507483492,0.6170644258369729,0.7713305316020187,2.504555609552236,55.73163305654082,1
os6,0.5118393430566598,356.72416547001734,0.34517267605665986,47.40620112303761,0.5118393430566598,0.701268831537001,0.3096546469577164,0.1903453530422836,0.6420721163957739,0.336293168781924,1.5482732366465095,0.9289639418021132,0.9289639418021132,0.6147555498312764,44.21120955478947,1
os7,0.7102313168507703,303.16269280686464,0.5580861998300702,42.417151055131576,0.7102313168507703,3.3042902331285298,0.17425859940308142,0.4651482801193837,2.5435646498507705,0.4004127124419925,0.0,0.0,0.0,0.0,75.94914988244383,1
os8,1.1700363998932422,311.2729483654444,0.6734061328067025,39.71876241130628,0.8400727988269209,4.016848664526865,2.0,0.2752281892842256,3.510109198720163,0.4438828228443869,0.7071034618806514,0.5235881303537862,0.5235881303537862,1.3623012190701893,47.67003640277193,1
os9,2.333333333,628.7026237032953,2.0829765897739687,63.1909959207063,2.0829765897739687,7.972816795154972,1.9434931276189968,0.5233002543115558,6.751070231678092,0.5582079652165369,0.9992865125479379,0.7217465634768788,0.9992865125479379,1.4941956871344084,54.62585652756008,1
os10,2.6109216245250746,634.8350147146483,1.4072810828312785,29.95050801519761,2.0739477496094354,6.277019831100299,2.4800919133693187,0.5227168754404934,5.925483790743946,0.9274788632412684,1.852672960205905,0.5557450424749253,0.5557450424749253,1.2553701043303414,30.77247215670209,1
