username,forum_num_days,forum_avg_count,forum_sum_count,video_forward_seek_sum,watched_time_hour,qz_mean,watched_time_weekday,video_pause_backward_seek_avg,indicator,final_score
Y1050217,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
Y1050218,-0.605011290897,-1.88401867491,0.243234807549,0.00353877516909,0.289127228846,0.171875188812,-0.00913541500921,0.00176520965812,0.0,10.0
Y1050219,-0.193989798853,0.923997811201,-1.31143575777,0.778681652052,0.468744226866,1.15279444683,0.0279999589023,0.00726145435735,0.0,20.0
Y1050220,-0.134297860895,0.573453408641,0.774431092101,-0.574737586481,0.568677044833,-0.519559970869,-0.0421895572979,-0.00642178149581,0.0,30.0
Y1050221,-0.198597722618,0.0869241494746,-0.540763033093,0.0267162396757,-1.52998721082,-0.814992345611,0.0261066724147,-0.0114745798154,1.0,80.0
Y1050222,-0.298473451993,-0.211461890213,-0.459176344084,0.0861921123489,-0.279324683457,0.239730096093,0.0147707797007,-0.00223531740014,0.0,50.0
Y1050223,0.0292704994971,2.02029527565,-0.74634650992,0.206794844264,0.822666453497,0.585740657365,-0.00220488706306,0.00220383916804,0.0,20.0
Y1050224,-0.0333612959776,0.330863891345,0.625025290583,-1.09755758504,-1.27465514899,-0.517798188781,0.000320939851491,-0.0196948149453,1.0,68.0
Y1050225,-0.118034294431,0.334256723428,1.45728293079,-0.316532522668,-0.221932027727,-0.533111457548,-0.0403752828105,-0.0120336650471,1.0,75.0
Y1050226,-0.105473517193,0.776602744208,-0.217033650041,-0.133109709214,-0.799383154554,-1.18435659988,-0.00309604896016,-0.0103497778265,0.0,40.0
Y1050227,-0.33868300644,0.811569238445,-1.67747420041,1.15657058364,0.832916175398,-0.750143774319,-2.10351217623e-05,0.0116089731727,0.0,10.0
