username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050256,0.25,0.5,515.25,0.5,0.5,0.0,0.25,0.5,0.0,4.5,0.0,0.5,1.0,0.0,0.75,0.5,0.5,0.0,0.5,0.5,0.25,41.0,0.333333333,0,30.0
Y1050257,0.5,1.0,142.25,0.5,1.5,0.5,0.75,1.5,0.0,10.75,4.0,1.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,0.0,0,40.0
Y1050258,0.25,0.5,269.25,0.5,2.5,1.25,1.5,2.5,0.5,20.25,2.25,8.75,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0
Y1050259,0.25,1.75,985.25,1.5,12.0,11.5,6.75,11.75,2.0,77.0,16.5,10.0,47.0,2.0,4.25,3.0,1.5,1.5,4.5,3.25,1.25,93.75,6.468333333,1,80.0
Y1050260,0.0,1.75,997.5,1.75,11.0,8.5,8.25,10.0,1.5,86.75,5.5,20.0,47.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5,0.0,0,50.0
Y1050261,0.0,6.25,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,1.0,1.5,1.0,2.5,0.0,76.75,6.389166667,1,82.0
Y1050262,0.25,1.5,149.0,1.0,2.5,2.0,1.0,2.5,0.25,7.75,1.75,0.25,3.75,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,90.0,0.333333333,0,50.0
Y1050263,0.25,1.75,436.0,0.25,2.5,2.5,2.25,2.5,0.25,50.5,0.25,10.25,38.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0,40.0
Y1050264,0.5,2.25,636.5,1.5,10.0,9.25,1.0,9.0,3.25,39.0,0.0,1.75,28.75,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.75,0.0,0,40.0
Y1050265,0.25,0.75,225.25,0.75,4.25,4.25,1.75,3.75,1.75,23.0,7.5,2.25,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0,20.0
Y1050266,0.25,2.0,585.0,2.0,7.75,7.0,2.5,7.25,1.75,74.0,5.25,6.5,57.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0,40.0
Y1050267,0.5,3.0,864.25,2.75,10.0,6.75,6.75,8.5,1.75,47.5,5.25,10.0,24.5,1.75,0.25,0.25,0.25,0.0,0.25,0.25,0.0,54.25,0.333333333,0,30.0
Y1050268,0.0,4.75,691.25,3.0,9.5,5.75,2.0,9.0,1.75,34.0,3.75,3.25,17.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0,60.0
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0,10.0
Y1050270,0.25,1.0,259.25,1.0,5.0,2.75,2.5,3.75,0.5,14.25,0.25,0.75,9.0,0.5,2.25,1.5,1.5,0.0,0.75,1.5,0.75,47.5,4.444166667,1,40.0
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050273,0.25,0.75,56.5,0.25,0.25,0.0,0.25,0.25,0.0,2.5,1.25,0.0,0.5,0.0,2.0,1.5,1.5,0.0,0.75,1.75,0.5,53.5,4.375,1,40.0
Y9999986,0.25,2.75,879.0,2.25,10.0,8.25,6.25,9.75,2.25,106.75,12.25,35.75,53.25,2.25,0.75,0.5,0.5,0.0,0.5,0.5,0.25,67.0,1.0,0,58.0
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25,0.0,0,27.0
Y9999988,0.25,2.5,388.0,1.25,8.25,5.25,3.25,7.5,0.5,30.5,3.75,3.0,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25,0.0,0,33.0
Y9999989,0.5,1.0,457.75,1.0,5.0,5.0,0.0,3.75,1.25,8.75,0.0,0.0,4.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.25,0.0,0,59.0
Y9999990,0.25,4.25,862.25,3.0,12.0,11.5,4.5,12.0,2.0,102.0,7.25,6.0,82.25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0,63.0
Y9999991,0.25,1.0,471.5,0.5,5.75,4.75,3.75,5.0,1.0,48.0,31.75,1.0,10.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.75,0.0,0,36.0
Y9999992,0.25,2.0,562.75,2.0,11.5,11.25,2.0,10.0,2.75,35.75,1.0,3.5,25.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.25,0.0,0,38.0
Y9999993,0.5,1.75,1061.75,1.75,15.25,13.75,11.0,15.25,1.25,186.75,40.5,37.25,89.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.25,0.0,0,49.0
Y9999994,0.25,0.5,78.0,0.5,3.0,0.5,0.25,2.5,0.25,5.5,0.75,1.0,2.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,0.0,0,20.0
Y9999995,0.5,1.5,261.5,1.0,6.25,2.5,3.75,5.5,0.5,30.0,11.25,0.75,8.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.25,0.0,0,57.0
